max_error_x,max_error_y,max_error_norm,max_error_theta,cent_error_x,cent_error_y,cent_error_norm,cent_error_theta
-0.0377274, -0.00320361, 0.0378631, -0.0859845, -0.221387, -0.00635129, 0.221478, -0.0679435
0.0169563, -0.0153268, 0.0228567, -0.133517, -0.169607, -0.00782751, 0.169788, -0.102287
0.0433464, -0.0334395, 0.0547459, -0.0885421, -0.0906801, -0.0164227, 0.0921552, -0.0926148
0.0379219, -0.0360949, 0.0523538, -0.0843841, -0.0138521, -0.0289948, 0.0321338, -0.0873701
0.0272884, -0.0335517, 0.0432478, -0.0998993, 0.0256939, -0.0358937, 0.0441422, -0.0908571
0.0198536, -0.0284463, 0.0346894, -0.1079, 0.0132313, -0.032553, 0.0351392, -0.0737957
0.030323, -0.0426478, 0.052329, -0.0995308, 0.0311871, -0.0503105, 0.0591927, -0.105028
0.0357704, -0.0553911, 0.065937, -0.0993826, 0.0340185, -0.0593164, 0.0683791, -0.105681
0.0433531, -0.0468566, 0.063836, -0.109014, 0.0322065, -0.0676471, 0.0749226, -0.118176
0.0141716, -0.0528689, 0.0547354, -0.0969399, 0.0215244, -0.0631568, 0.066724, -0.0945642
-0.00224113, -0.0386269, 0.0386918, -0.0885102, 0.0274162, -0.100117, 0.103803, -0.0862486
0.0197144, -0.0940371, 0.0960813, -0.124226, 0.0130262, -0.0769114, 0.0780067, -0.122291
-0.00561428, -0.0423522, 0.0427227, -0.099565, -0.00396252, -0.0499217, 0.0500787, -0.0906782
0.00825024, -0.0883761, 0.0887604, -0.121128, 0.00280857, -0.0903043, 0.0903479, -0.117504
-0.0109663, -0.0904782, 0.0911404, -0.123127, -0.000992775, -0.10378, 0.103784, -0.123955
-0.0275793, 0.00470784, 0.0279782, -0.082988, -0.00960445, -0.063672, 0.0643923, -0.11415
-0.0195141, -0.00294662, 0.0197353, -0.0700563, -0.0217075, -0.0956532, 0.0980855, -0.0852233
-0.0341053, -0.061748, 0.0705406, -0.108302, -0.0191708, -0.0304681, 0.0359976, -0.0931556
-0.018177, -0.00963813, 0.0205742, -0.0901202, -0.0203695, -0.0152485, 0.0254448, -0.056899
-0.043601, -0.0559132, 0.0709037, -0.110829, -0.0231495, 0.0142186, 0.0271674, -0.0612593
-0.0136843, 0.0279089, 0.0310832, -0.0675845, -0.0278749, 0.0396968, 0.0485062, -0.0442424
-0.0516005, 0.0448301, 0.0683545, -0.049437, -0.0364285, 0.00466329, 0.0367257, -0.0757356
-0.102921, -0.129576, 0.165477, -0.129935, -0.0403252, -0.015792, 0.0433071, -0.0953271
-0.0777216, -0.0992142, 0.126032, -0.115671, -0.0366039, 0.00795031, 0.0374574, -0.096873
-0.0259171, -0.0388334, 0.0466876, -0.0919285, -0.0260696, 0.0238824, 0.0353553, -0.0992694
-0.0908689, 0.0361191, 0.0977842, -0.0776124, -0.0338831, 0.0309383, 0.0458829, -0.106958
-0.177144, -0.00433582, 0.177197, -0.098093, -0.0972557, 0.0139841, 0.0982559, -0.111458
-0.107141, -0.0334176, 0.112231, -0.104154, -0.0925245, -0.00249404, 0.0925581, -0.0174043
-0.0982866, -0.0259151, 0.101646, -0.103243, -0.113509, 0.00918067, 0.11388, 0.120517
-0.128892, -0.0158081, 0.129858, -0.0975717, -0.161201, 0.00910002, 0.161458, 2.5001
-0.128535, -0.0110085, 0.129006, -0.101203, -0.1949, 0.00988245, 0.19515, -0.0814946
-0.0587101, -0.00794733, 0.0592456, -0.103776, -0.144513, 0.0120264, 0.145013, -0.088805
-0.147563, 0.0105212, 0.147938, -0.0999489, -0.10838, 0.00960916, 0.108805, -0.081984
-0.0712643, 0.025193, 0.0755863, -0.0928991, -0.103679, 0.0128661, 0.104474, -0.106351
-0.116099, 0.00934392, 0.116474, -0.0971067, -0.121305, 0.0259093, 0.124042, -0.0956526
-0.0220866, 0.0389538, 0.0447796, -0.0917468, -0.0749221, 0.0146295, 0.076337, -0.115515
0.0308051, 0.024921, 0.0396234, -0.0934072, -0.0604181, 0.020718, 0.0638716, -0.109272
-0.138221, 0.0285892, 0.141146, -0.0985847, -0.0667357, 0.035939, 0.0757976, -0.114201
0.0579386, 0.0139771, 0.0596006, -0.108072, -0.0719061, 0.030811, 0.0782292, -0.106402
-0.111879, 0.0215816, 0.113941, -0.108572, -0.0822158, 0.0242243, 0.0857103, -0.112644
-0.118847, 0.0274031, 0.121966, -0.0959275, -0.0861378, 0.0183585, 0.0880724, -0.114642
-0.226225, 0.0338846, 0.228749, -0.116592, -0.0910716, 0.00229615, 0.0911006, -0.103382
-0.0478601, -0.0217749, 0.0525808, -0.118614, -0.0654411, -0.0121127, 0.0665527, -0.0971924
-0.0543923, 0.0194865, 0.0577776, -0.123815, -0.0735531, 0.0152007, 0.0751074, -0.107475
-0.0589957, 0.0238495, 0.0636341, -0.134448, -0.0360665, -0.0138007, 0.0386168, -0.12379
-0.0554104, 0.0623749, 0.0834322, -0.137684, -0.0468349, 0.00301135, 0.0469317, -0.147548
-0.0362215, -0.01384, 0.0387756, -0.147058, -0.0584211, 0.0251441, 0.0636023, -0.178433
-0.0221367, 0.0609963, 0.064889, -0.125199, -0.0428591, 0.0236596, 0.0489559, -0.143983
-0.0531116, 0.0323908, 0.0622093, -0.100181, -0.031076, 0.00102907, 0.031093, -0.142821
-0.00543737, 0.0715845, 0.0717907, -0.0951934, -0.010396, 0.0224151, 0.0247086, -0.101489
0.0104556, 0.0415313, 0.0428272, -0.11806, -0.010747, 0.0142215, 0.0178255, -0.128407
